Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B3,FALSE,CL2459,sch,UNKNOWN,FAM,NFQ-MGB,26.414,26.766,0.339,"1,165.739",929.079,221.448,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,23,Amp,,0.972,N,N,N,N,N
16,B4,FALSE,KN1043,env,UNKNOWN,NED,NFQ-MGB,30.065,30.403,0.426,469.976,396.473,88.508,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,27,Amp,,0.986,N,Y,N,N,N
16,B4,FALSE,KN1043,pisck_sal,UNKNOWN,VIC,NFQ-MGB,32.037,32.497,0.943,22.333,18.443,9.068,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,29,Amp,,0.955,N,Y,N,Y,N
16,B4,FALSE,KN1043,sch,UNKNOWN,FAM,NFQ-MGB,29.864,29.679,0.250,104.552,120.243,21.838,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,26,Amp,,0.971,N,N,N,N,N
17,B5,FALSE,KN1043,env,UNKNOWN,NED,NFQ-MGB,30.262,30.403,0.426,421.216,396.473,88.508,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,27,Amp,,0.986,N,Y,N,N,N
17,B5,FALSE,KN1043,pisck_sal,UNKNOWN,VIC,NFQ-MGB,33.581,32.497,0.943,8.079,18.443,9.068,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,30,Amp,,0.916,N,Y,N,Y,N
17,B5,FALSE,KN1043,sch,UNKNOWN,FAM,NFQ-MGB,29.394,29.679,0.250,145.184,120.243,21.838,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,26,Amp,,0.974,N,N,N,N,N
18,B6,FALSE,KN1043,env,UNKNOWN,NED,NFQ-MGB,30.882,30.403,0.426,298.226,396.473,88.508,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,28,Amp,,0.983,N,Y,N,N,N
18,B6,FALSE,KN1043,pisck_sal,UNKNOWN,VIC,NFQ-MGB,31.871,32.497,0.943,24.917,18.443,9.068,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,29,Amp,,0.958,N,Y,N,Y,N
18,B6,FALSE,KN1043,sch,UNKNOWN,FAM,NFQ-MGB,29.778,29.679,0.250,110.993,120.243,21.838,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,26,Amp,,0.970,N,N,N,N,N
19,B7,FALSE,CL0361,env,UNKNOWN,NED,NFQ-MGB,30.452,31.288,0.760,378.904,252.985,111.713,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,27,Amp,,0.968,N,Y,N,Y,N
19,B7,FALSE,CL0361,pisck_sal,UNKNOWN,VIC,NFQ-MGB,30.822,30.735,0.079,49.722,52.692,2.724,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.954,N,Y,N,N,N
19,B7,FALSE,CL0361,sch,UNKNOWN,FAM,NFQ-MGB,29.760,29.687,0.170,112.402,118.859,14.545,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,26,Amp,,0.969,N,N,N,N,N
20,B8,FALSE,CL0361,env,UNKNOWN,NED,NFQ-MGB,31.937,31.288,0.760,165.773,252.985,111.713,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,29,Amp,,0.950,N,Y,N,Y,N
20,B8,FALSE,CL0361,pisck_sal,UNKNOWN,VIC,NFQ-MGB,30.717,30.735,0.079,53.279,52.692,2.724,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.956,N,Y,N,N,N
20,B8,FALSE,CL0361,sch,UNKNOWN,FAM,NFQ-MGB,29.493,29.687,0.170,135.515,118.859,14.545,36.515,0.998,-3.294,101.187,TRUE,0.072,TRUE,3,26,Amp,,0.972,N,N,N,N,N
21,B9,FALSE,CL0361,env,UNKNOWN,NED,NFQ-MGB,31.476,31.288,0.760,214.280,252.985,111.713,41.115,0.993,-4.135,74.505,TRUE,0.040,TRUE,3,29,Amp,,0.960,N,Y,N,Y,N
21,B9,FALSE,CL0361,pisck_sal,UNKNOWN,VIC,NFQ-MGB,30.667,30.735,0.079,55.075,52.692,2.724,36.753,0.995,-3.496,93.215,TRUE,0.040,TRUE,3,28,Amp,,0.956,N,Y,N,N,N
