Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B5,FALSE,KN1043,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,36.149,0.371,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
18,B6,FALSE,KN1043,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
18,B6,FALSE,KN1043,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
18,B6,FALSE,KN1043,pa_ther,UNKNOWN,NED,NFQ-MGB,36.411,36.149,0.371,26.003,30.365,6.168,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,33,Amp,,0.993,N,N,Y,N,N,N,N,N
19,B7,FALSE,CL0361,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
19,B7,FALSE,CL0361,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
19,B7,FALSE,CL0361,pa_ther,UNKNOWN,NED,NFQ-MGB,37.002,37.002,,18.781,18.781,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,33,Amp,,0.944,N,N,Y,N,N,N,N,N
20,B8,FALSE,CL0361,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
20,B8,FALSE,CL0361,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
20,B8,FALSE,CL0361,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,37.002,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,N,N,N
